"ID","SlogP","SMR","LabuteASA","TPSA","AMW","ExactMW","NumLipinskiHBA","NumLipinskiHBD","NumRotatableBonds","NumHBD","NumHBA","NumAmideBonds","NumHeteroAtoms","NumHeavyAtoms","NumAtoms","NumStereocenters","NumUnspecifiedStereocenters","NumRings","NumAromaticRings","NumSaturatedRings","NumAliphaticRings","NumAromaticHeterocycles","NumSaturatedHeterocycles","NumAliphaticHeterocycles","NumAromaticCarbocycles","NumSaturatedCarbocycles","NumAliphaticCarbocycles","FractionCSP3","Chi0v","Chi1v","Chi2v","Chi3v","Chi4v","Chi1n","Chi2n","Chi3n","Chi4n","HallKierAlpha","kappa1","kappa2","kappa3","Class"
"CHEMBL1091778",4.5522000000000045,95.83700000000005,135.97965946523723,16.130000000000003,310.466,310.15036970399996,2,0,5,0,3,0,3,22,44,1,0,3,3,0,0,2,0,0,1,0,0,0.3157894736842105,14.229538047471236,8.53141874192111,7.13314515064668,5.360648096106424,4.190486050501137,7.714922160993384,5.9963953199605555,4.1143019390319955,2.9004248820348697,-1.7099999999999995,15.195897846024538,6.590957516469045,3.057231472317194,"inactive"
"CHEMBL1091782",4.613700000000003,93.71400000000004,133.62002273564875,16.130000000000003,316.495,316.10679064,2,0,5,0,4,0,4,21,41,1,0,3,3,0,0,2,0,0,1,0,0,0.35294117647058826,14.299582380483573,8.955698411035542,7.4787810007379685,5.676004178722971,4.623157525790934,7.1963927885257535,5.623344872002528,3.8249578601047043,2.685256420290787,-1.23,14.696650165033912,6.260141297003812,3.0255298865516886,"inactive"
"CHEMBL1092259",3.6341000000000028,90.98300000000005,136.21499591399842,29.020000000000003,313.8320000000001,313.13457531999995,3,0,5,0,3,0,4,22,42,0,0,3,2,0,1,1,0,0,1,0,1,0.3333333333333333,13.768062945411504,7.903614426129159,6.423590835850659,4.293460465854543,3.1451257846054808,7.525649953119931,5.987155055378674,4.058363363066804,2.9504255582305654,-1.7099999999999995,15.195897846024538,6.590957516469045,3.3682875283507054,"active"
"CHEMBL1092495",4.691300000000004,95.79500000000004,140.14519486816343,16.130000000000003,328.456,328.140947892,2,0,5,0,3,0,4,23,44,1,0,3,3,0,0,2,0,0,1,0,0,0.3157894736842105,14.530152251290836,8.64115068769002,7.248068888773567,5.3701473628894965,4.18299226872598,7.824654106762295,6.111319058087442,4.123801205815069,2.8929311002597125,-1.7799999999999998,16.091008019015952,6.768441220317652,3.4327361220295463,"inactive"
"CHEMBL1092496",4.860620000000005,100.57400000000004,142.34460157963383,16.130000000000003,324.493,324.16601976799996,2,0,5,0,3,0,3,23,47,1,1,3,3,0,0,2,0,0,1,0,0,0.35,15.15218777828161,8.952168451185408,7.579700152675453,5.610475224637076,4.293764394151497,8.135671870257681,6.442950321989329,4.364129067562648,3.0037032256852307,-1.7099999999999995,16.158490172173398,6.812694462248205,3.4601752662527563,"inactive"
"CHEMBL1092597",3.5503000000000027,97.23600000000006,143.75515914541688,38.25000000000001,323.44,323.19976242,4,0,6,0,4,0,4,24,49,1,0,3,2,0,1,1,0,0,1,0,1,0.4,14.912661304850763,8.412683080388861,6.576974444902765,4.680782823664885,3.5008733182733853,8.412683080388861,6.576974444902765,4.680782823664885,3.5008733182733853,-2.1999999999999993,16.65057552432738,7.137733272644517,3.195134779750165,"active"
"CHEMBL1092598",4.208200000000004,90.76600000000005,130.69738709097837,16.130000000000003,298.455,298.15036970399996,2,0,5,0,3,0,3,21,43,1,0,3,2,0,1,1,0,0,1,0,1,0.3888888888888889,13.781944290278531,8.387984174078268,6.9226024761193825,5.166182462936803,3.850480934756128,7.508331362823373,5.996458242517386,4.2079289107996924,3.1456479294695074,-1.45,14.485718476967717,6.121751923947488,2.9430514465774933,"active"
"CHEMBL1092649",3.1198000000000015,85.93100000000005,130.077265090043,29.020000000000003,297.3770000000001,297.16412586,3,0,5,0,3,0,4,22,42,0,0,3,2,0,1,1,0,0,1,0,1,0.3333333333333333,13.012133999393049,7.525649953119931,5.987155055378674,4.058363363066804,2.9504255582305654,7.525649953119931,5.987155055378674,4.058363363066804,2.9504255582305654,-2.07,14.85016445810978,6.361380204290969,3.2232618307934198,"active"
"CHEMBL1092650",3.642700000000003,97.53500000000004,147.69348325790193,38.25000000000001,343.858,343.145140004,4,0,6,0,4,0,5,24,46,0,0,3,2,0,1,1,0,0,1,0,1,0.3684210526315789,15.098960966685741,8.442719635232958,6.7391528510572005,4.592185234906248,3.356039575436263,8.064755162223731,6.302717070585215,4.357088132118509,3.1613393490613477,-1.9099999999999993,16.930714071918974,7.324575345007146,3.601068004696847,"active"
"CHEMBL1092651",3.128400000000002,92.48300000000005,141.55575243394648,38.25000000000001,327.40299999999996,327.174690544,4,0,6,0,4,0,5,24,46,0,0,3,2,0,1,1,0,0,1,0,1,0.3684210526315789,14.343032020667286,8.064755162223731,6.302717070585215,4.357088132118509,3.1613393490613477,8.064755162223731,6.302717070585215,4.357088132118509,3.1613393490613477,-2.2699999999999996,16.58299058146244,7.0928502410405985,3.459432360864144,"active"
"CHEMBL1092662",3.1198000000000015,85.93100000000004,130.04571865844775,29.020000000000003,297.3770000000001,297.16412586,3,0,5,0,3,0,4,22,42,0,0,3,2,0,1,1,0,0,1,0,1,0.3333333333333333,13.012133999393049,7.542585506958943,6.0054005788660065,4.069239858832075,2.956876324922662,7.542585506958943,6.0054005788660065,4.069239858832075,2.956876324922662,-2.07,14.85016445810978,6.361380204290969,3.2232618307934198,"active"
"CHEMBL1092663",3.850120000000003,95.42100000000005,138.64161391590997,29.020000000000003,307.441,307.20484780000004,3,0,5,0,3,0,3,23,48,1,0,3,2,0,1,1,0,0,1,0,1,0.4,14.5044130143869,8.284261473808021,6.759848402824138,4.656258060037398,3.4502597018643844,8.284261473808021,6.759848402824138,4.656258060037398,3.4502597018643844,-1.9999999999999998,15.879017013232515,6.629935720844812,3.347107438016529,"inactive"
"CHEMBL1092765",4.691300000000004,95.79500000000004,140.14519486816343,16.130000000000003,328.456,328.140947892,2,0,5,0,3,0,4,23,44,1,0,3,3,0,0,2,0,0,1,0,0,0.3157894736842105,14.530152251290836,8.647133751833728,7.230225696008322,5.43067835651435,4.268681563346909,7.8306371709060025,6.093475865322198,4.184332199439922,2.978620394880643,-1.7799999999999994,16.091008019015952,6.768441220317652,3.282591045869219,"active"
"CHEMBL1092767",4.613700000000004,93.71400000000004,133.62002273564872,16.130000000000003,316.495,316.10679064,2,0,5,0,4,0,4,21,41,1,1,3,3,0,0,2,0,0,1,0,0,0.35294117647058826,14.299582380483573,8.905622264283311,7.643272991026726,5.956334264612882,4.668346943127903,7.209472872100689,5.580378926738606,3.7517345554013413,2.673452769375017,-1.23,14.696650165033912,6.260141297003812,3.0255298865516886,"inactive"
"CHEMBL1094510",3.9245000000000028,101.14200000000004,148.5960264072062,30.290000000000003,335.4510000000001,335.19976242,4,0,5,0,4,0,4,25,50,1,1,4,3,1,1,1,1,1,2,0,0,0.38095238095238093,14.766032455979285,9.126328951612255,6.8732640918789265,5.000532695112633,3.789455093152205,9.126328951612255,6.8732640918789265,5.000532695112633,3.789455093152205,-2.329999999999999,16.155395908544655,7.27668618489787,3.5395246294393687,"active"
"CHEMBL1095819",4.032900000000003,94.70700000000004,141.28307446622898,21.060000000000002,323.415,323.179775924,3,0,3,0,3,0,4,24,46,1,0,4,3,1,1,1,1,1,2,0,0,0.35,13.951291588148475,8.58674890140636,6.7727231157227425,4.927650233027715,3.7215126603591435,8.58674890140636,6.7727231157227425,4.927650233027715,3.7215126603591435,-2.1999999999999997,15.334859521331946,6.36249804937424,2.9386052136522447,"active"
"CHEMBL10971",4.277800000000004,100.60700000000004,152.88092310835967,33.2,352.8650000000001,352.13424097200004,3,0,0,0,2,1,4,25,46,0,0,4,2,1,2,1,1,1,1,0,1,0.3333333333333333,15.143311202748505,9.216528107373726,7.233656971531722,5.529353524591849,4.16948685915023,8.8385636343645,6.797221191059736,5.294256421804111,3.974786632775315,-2.1299999999999994,16.34447116346503,6.64206422901468,3.089056817688691,"active"
"CHEMBL1112",4.859300000000004,123.23670000000004,187.442327584194,44.81,448.39400000000023,447.14803246400004,5,1,7,1,4,1,7,30,57,0,0,4,2,1,2,0,1,2,2,0,0,0.43478260869565216,18.51388003698624,11.324720060675952,8.609495445837593,6.567346235473263,4.432199568018668,10.568791114657497,7.824330846087761,5.758419358128086,4.017137067374732,-1.9499999999999993,21.288457529152762,9.904587958522693,5.2032171877250555,"active"
"CHEMBL1172",4.018900000000003,91.22270000000005,135.77954529292737,24.92,310.8280000000001,310.123676288,2,1,0,1,2,0,3,22,41,0,0,4,2,1,2,1,1,1,1,0,1,0.3157894736842105,13.287849316784683,8.363448413544688,6.477590776365508,4.92413834277791,3.8065083964341917,7.985483940535462,6.041154995893523,4.689041239990172,3.611808170059277,-1.6399999999999997,13.984366672921752,5.864062936700998,2.4668840166179695,"active"
"CHEMBL1201190",3.991800000000003,120.70080000000003,188.96556635573512,53.010000000000005,461.8170000000001,460.10872576400004,5,1,8,1,4,0,8,29,56,1,0,3,2,1,1,0,1,1,2,0,0,0.38095238095238093,18.46477068944056,9.574320108868505,7.125141016013383,5.102449976461867,3.6187519668711747,9.196355635859277,6.688705235541398,4.850473661122382,3.492763809201432,-1.3399999999999999,25.696153289949386,13.061363854579723,7.7763262945049485,"inactive"
"CHEMBL1201203",4.417800000000004,93.40700000000007,138.6346929477823,12.47,307.437,307.19361442,2,0,4,0,2,0,2,23,48,3,0,4,2,2,2,0,2,2,2,0,0,0.42857142857142855,13.766792779364778,8.783223112804032,6.981369044659757,5.588159574998902,4.270379301362635,8.783223112804032,6.981369044659757,5.588159574998902,4.270379301362635,-1.6399999999999997,14.921147645740815,6.463714555599074,3.0598472025657415,"active"
"CHEMBL1201353",3.8186000000000027,80.70300000000005,119.5959557755756,16.130000000000003,274.795,274.123676288,2,0,5,0,2,0,3,19,38,1,0,2,2,0,0,1,0,0,1,0,0,0.3125,12.138686595107327,6.855048253321955,5.387126967594817,3.4341296842048092,2.275778575273882,6.477083780312729,4.950691187122832,3.182153368865324,2.1497904176041396,-1.3800000000000001,14.03810833666951,6.68985926125854,4.049073463055102,"active"
"CHEMBL1222552",1.6481,80.08470000000004,118.29030252946207,33.09,266.348,266.153146576,4,1,1,1,4,0,4,20,38,0,0,4,2,1,2,1,1,2,1,0,0,0.3125,11.418626576759996,7.184595514287181,5.344189895839702,4.090270051047044,3.0228331576566174,7.184595514287181,5.344189895839702,4.090270051047044,3.0228331576566174,-2.07,11.731559540606883,4.795954740814658,1.926697856829972,"active"
"CHEMBL1222625",2.0013,100.43080000000005,152.2261952936994,61.6,350.4220000000001,350.17427594400004,6,1,4,1,5,0,6,26,48,0,0,4,2,1,2,1,1,2,1,0,0,0.3,14.635515620596871,8.811009755319603,6.779043722599772,5.062483983172469,3.6015308255212566,8.811009755319603,6.779043722599772,5.062483983172469,3.6015308255212566,-2.8599999999999994,16.59997451191249,6.8018367623600735,3.1541465050352033,"inactive"
"CHEMBL1222626",2.2237,102.93580000000004,158.274909286751,61.6,364.4490000000001,364.18992600800004,6,1,3,1,5,0,6,27,51,0,0,5,2,2,3,1,1,2,1,1,1,0.42857142857142855,15.290216158976122,9.717542394313643,7.790547780863245,6.266362588203907,4.532657013998551,9.717542394313643,7.790547780863245,6.266362588203907,4.532657013998551,-2.5999999999999996,16.56474905772664,6.531007475970096,2.9374435331783686,"inactive"
"CHEMBL1243394",4.304000000000002,89.09040000000003,143.0005899069174,40.71,355.42900000000003,355.13300330000004,3,2,5,2,3,0,7,24,44,1,0,3,2,1,1,1,1,1,1,0,0,0.47058823529411764,13.960187945368977,9.018402965827855,7.114545363710863,5.594601292440323,4.253686663025639,8.032804406174368,6.0211323749916845,4.463319009067872,3.1102191707888225,-1.4700000000000002,17.35618037698209,7.610773053630109,4.329150365305546,"inactive"
"CHEMBL1243395",4.304000000000002,89.09040000000003,143.0005899069174,40.71,355.42900000000003,355.13300330000004,3,2,5,2,3,0,7,24,44,1,0,3,2,1,1,1,1,1,1,0,0,0.47058823529411764,13.960187945368977,9.018402965827855,7.114545363710863,5.594601292440323,4.253686663025639,8.032804406174368,6.0211323749916845,4.463319009067872,3.1102191707888225,-1.4700000000000002,17.35618037698209,7.610773053630109,4.329150365305546,"inactive"
"CHEMBL12713",4.627600000000004,121.62970000000003,185.9269058556799,40.51,440.9500000000002,440.17791735199995,5,1,5,1,3,2,7,31,57,0,0,5,3,2,2,1,2,2,2,0,0,0.375,18.114753641199663,11.277012521800804,8.863658998106606,6.795929028365995,4.99465700371319,10.899048048791578,8.427223217634623,6.560831925578256,4.822553979760322,-2.5699999999999994,20.33923328397538,8.517534171000428,4.143474661527969,"active"
"CHEMBL1276860",3.886200000000003,108.38980000000005,165.92500972104312,40.54,373.4960000000001,373.20417910400005,3,1,2,1,2,0,3,28,55,5,2,6,2,3,4,0,1,1,2,2,3,0.48,16.180626180045124,10.766074543151909,9.601997499417845,8.223126083146278,6.797558512854473,10.766074543151909,9.601997499417845,8.223126083146278,6.797558512854473,-2.1299999999999994,16.79092958243967,5.933295047571746,2.4170712825820333,"inactive"
"CHEMBL1277035",3.9504000000000037,106.00280000000005,159.8762957279915,40.54,359.4690000000001,359.18852904000005,3,1,2,1,2,0,3,27,52,2,2,5,2,2,3,0,1,1,2,1,2,0.375,15.525925641665875,9.94535987800554,8.50217010742082,6.85567893884142,5.5736449019918695,9.94535987800554,8.50217010742082,6.85567893884142,5.5736449019918695,-2.3899999999999992,16.759762972032494,6.34636342556212,2.90471216297647,"inactive"
"CHEMBL1277125",4.542000000000004,107.88780000000006,164.9898409574984,49.769999999999996,375.4680000000001,375.18344366,4,1,2,1,3,0,4,28,53,2,2,5,2,1,3,0,0,2,2,1,1,0.375,15.934173932129738,10.162521152558634,8.353339850363087,6.733834380424732,5.370002442296194,10.162521152558634,8.353339850363087,6.733834380424732,5.370002442296194,-2.5899999999999994,17.504518734707897,6.7828007647719355,2.9239478357704467,"active"
"CHEMBL1277769",4.810500000000004,115.26080000000007,173.295782988969,40.540000000000006,389.5390000000001,389.23547923199993,3,1,2,1,2,0,3,29,60,2,2,5,2,2,3,0,1,1,2,1,2,0.5,17.36278893484934,11.118009608815916,9.858145147342105,8.133621304807782,6.170681598666664,11.118009608815916,9.858145147342105,8.133621304807782,6.170681598666664,-2.1299999999999994,18.87066760626845,6.982663994195339,3.1999675062846578,"inactive"
"CHEMBL1277855",4.479600000000005,110.57780000000004,170.40677324531435,40.54,391.4860000000001,391.194757292,3,1,2,1,2,0,4,29,55,2,2,5,2,1,3,0,0,1,2,1,2,0.4,16.533646626672024,10.561045482308893,8.89435169321376,7.220828512591008,5.836856312811403,10.561045482308893,8.89435169321376,7.220828512591008,5.836856312811403,-2.4599999999999995,18.56113967789567,7.100963033864341,3.294738386637747,"inactive"
"CHEMBL1278113",2.9822000000000015,109.71050000000005,166.11576094378378,52.57,376.5000000000001,376.215078136,4,2,2,2,3,0,4,28,56,3,2,5,2,2,3,0,1,1,2,1,2,0.4583333333333333,16.23303242285242,10.500054777876132,8.796247470220948,7.22065007270563,5.84390793345638,10.500054777876132,8.796247470220948,7.22065007270563,5.84390793345638,-2.169999999999999,17.896633259495168,7.015963589417461,3.0484998393208667,"active"
"CHEMBL1278114",3.688100000000003,98.96650000000005,148.63187419831647,49.33,335.44700000000006,335.18852904000005,3,2,4,2,2,0,3,25,50,2,1,4,2,1,2,0,0,0,2,1,2,0.4090909090909091,14.50136177697629,9.266030321629891,7.597326253482794,5.997211034914867,4.84815451278233,9.266030321629891,7.597326253482794,5.997211034914867,4.84815451278233,-2.1299999999999994,16.34447116346503,6.64206422901468,3.209312600583187,"active"
"CHEMBL129198",2.2089,76.70920000000004,116.49050527242906,39.34,277.755,277.098189812,4,1,1,1,2,1,5,19,35,0,0,3,2,1,1,1,1,1,1,0,0,0.35714285714285715,11.574397101996157,6.772186452965273,5.446497524712767,3.8387849113495993,2.579140798670711,6.394221979956045,5.010061744240782,3.6036878085618604,2.3985981684419704,-1.5199999999999998,12.510594217625405,4.868768779194546,2.4597737733336835,"inactive"
"CHEMBL137781",3.046900000000001,100.27470000000007,148.0405685070809,39.34,335.4510000000001,335.19976242,4,1,1,1,2,1,4,25,50,4,1,5,2,1,3,1,1,2,1,0,1,0.47619047619047616,15.120148247730057,9.377742006731859,8.10929847222618,6.471857379431616,5.248479760965621,9.377742006731859,8.10929847222618,6.471857379431616,5.248479760965621,-2.0699999999999994,15.20577679696326,5.212610942715808,2.066152739118949,"inactive"
"CHEMBL1411979",2.7113000000000005,78.16000000000005,112.69288648930878,19.37,261.394,261.129968608,3,0,6,0,4,0,4,18,37,0,0,2,2,0,0,2,0,0,0,0,0,0.35714285714285715,11.72915788577849,6.965572517629458,5.524376224227077,3.578353767694206,2.4462112893559826,6.085919706374563,4.492131041865323,2.7172045254264185,1.7267767292275413,-1.39,13.051388775220314,6.517817714017332,3.821877099038388,"active"
"CHEMBL154068",2.8847000000000005,66.80210000000001,103.59361310709107,54.7,256.13599999999997,255.03300271199998,3,3,3,2,2,0,5,16,27,0,0,2,2,0,0,1,0,0,1,0,0,0.18181818181818182,10.015965341876548,5.658292836486988,4.222386155637376,2.963455033036911,1.7251772491301103,4.902363890468534,3.407985902156164,2.2244257542988937,1.4270860675075001,-1.0299999999999998,11.455255502156714,4.86873620439508,2.375436055715756,"inactive"
"CHEMBL156071",4.2020000000000035,82.13310000000006,117.94434970562642,54.7,265.44499999999994,265.251797992,3,3,13,2,2,0,3,19,50,0,0,1,1,0,0,1,0,0,0,0,0,0.8125,12.371652558493956,8.109632772338715,5.488303027945989,3.6918949489413584,2.469073454855431,8.109632772338715,5.488303027945989,3.6918949489413584,2.469073454855431,-0.8300000000000001,16.225035773252614,12.216480587576932,9.712469328014802,"inactive"
"CHEMBL160933",3.2843000000000018,76.08700000000005,109.06721041421818,3.24,237.34599999999998,237.151749608,1,0,2,0,1,0,1,18,37,0,0,3,2,0,1,0,0,0,2,0,1,0.29411764705882354,11.057579580579688,6.558060836236042,5.389233310187673,3.7896437465631494,3.0048164176265226,6.558060836236042,5.389233310187673,3.7896437465631494,3.0048164176265226,-1.5999999999999996,11.48813799621928,4.581818181818181,1.9515034416133312,"inactive"
"CHEMBL1626",5.104400000000005,100.56900000000006,149.9437903281932,12.47,343.898,343.170292132,2,0,6,0,2,0,3,24,50,2,0,3,2,1,1,0,1,1,2,0,0,0.42857142857142855,15.298391902820503,9.129933629101146,7.25639901747729,5.485041768231651,3.7265309491596,8.751969156091917,6.819963237005305,5.233065452892165,3.6005427914898576,-1.3499999999999996,17.47230332155244,7.689383736353432,3.826164180769678,"active"
"CHEMBL1628227",3.9624000000000033,87.46600000000005,126.22103684033402,12.47,279.383,279.162314292,2,0,3,0,2,0,2,21,42,0,0,3,2,0,1,0,0,1,2,0,0,0.2631578947368421,12.672934652230099,7.4086315908747,5.651731947012883,3.792715741036061,2.7115302451163505,7.4086315908747,5.651731947012883,3.792715741036061,2.7115302451163505,-2.0599999999999996,13.901814763425588,6.146844081766772,3.006125990520758,"active"
"CHEMBL1633",3.726200000000002,115.9601000000001,178.32093833995734,94.91000000000001,425.5060000000002,425.12969383599994,6,2,2,2,5,0,7,30,53,0,0,4,2,1,2,1,1,1,1,0,1,0.2608695652173913,17.4454665887328,10.482990277625555,8.128253988922882,6.093622460711279,4.541565087287736,9.60333746637066,7.212137911087595,5.138170569895392,3.700673137950544,-3.0300000000000002,21.6734403723562,9.646662987479184,5.1132221849940604,"active"
"CHEMBL1669406",3.760900000000003,95.20700000000005,138.64161391591,29.020000000000003,307.4410000000001,307.20484780000004,3,0,7,0,3,0,3,23,48,0,0,3,2,0,1,1,0,0,1,0,1,0.4,14.125733357946544,8.502105065795785,6.342833110638358,4.548272472015556,3.3771151768934082,8.502105065795785,6.342833110638358,4.548272472015556,3.3771151768934082,-1.9999999999999996,15.879017013232515,7.513007284079085,3.8548483045806066,"inactive"
"CHEMBL1669410",3.825580000000003,99.85700000000004,149.3991357117753,52.81,332.451,332.20009676800004,4,0,7,0,4,0,4,25,49,1,0,3,2,0,1,1,0,0,1,0,1,0.38095238095238093,14.94319044144958,8.819752230145193,6.6645079621386065,4.9527114864159465,3.575874903737483,8.819752230145193,6.6645079621386065,4.9527114864159465,3.575874903737483,-2.51,17.317480854428297,8.044332945101292,3.9448293439053352,"inactive"
"CHEMBL1669416",3.760100000000003,93.42300000000004,145.96685356823323,29.020000000000003,341.40500000000014,341.17035411200004,3,0,5,0,3,0,5,25,46,0,0,4,2,1,2,1,1,1,1,0,1,0.4,14.088769085151545,8.749083709321892,6.9216561123664775,5.126175233017103,3.8486498472164614,8.749083709321892,6.9216561123664775,5.126175233017103,3.8486498472164614,-2.1399999999999997,16.33501359273475,6.6361706668631255,3.611617266638841,"inactive"
"CHEMBL1669417",3.462900000000002,93.37200000000006,141.801318165307,29.020000000000003,323.41500000000013,323.179775924,3,0,5,0,3,0,4,24,46,1,1,4,2,1,2,1,1,1,1,0,1,0.4,13.788154881331945,8.698726926289835,6.726122329053505,5.092317270560941,3.8393297930467325,8.698726926289835,6.726122329053505,5.092317270560941,3.8393297930467325,-2.0699999999999994,15.457260686118481,6.813757208089239,3.2427048282100337,"active"
"CHEMBL1669425",4.507100000000004,112.70100000000004,166.5534139885239,41.910000000000004,370.5000000000001,370.21574683200004,4,0,7,0,4,0,4,28,54,1,0,4,3,0,1,2,0,0,1,0,1,0.2916666666666667,16.545484737021535,9.85656014774583,7.5463630503524515,5.5492316174161855,4.102138795594358,9.85656014774583,7.5463630503524515,5.5492316174161855,4.102138795594358,-2.849999999999999,18.51038540046503,8.444143264680987,4.020609724691565,"inactive"
"CHEMBL167223",4.800100000000005,97.89900000000004,143.36029004744856,16.130000000000003,326.87100000000004,326.15497641600007,2,0,5,0,2,0,3,23,46,1,1,3,2,0,1,1,0,0,1,0,1,0.35,14.76844310710425,8.501477070494206,6.961476808595354,4.8025233882602985,3.5826246612074972,8.123512597484979,6.525041028123368,4.5674262854725605,3.387924434832582,-1.64,16.22598681741415,6.857035465153058,3.4877074773900887,"active"
"CHEMBL17157",6.445800000000007,144.38259999999983,210.99725115424363,43.7,471.6850000000001,471.313729552,3,2,8,2,3,0,3,35,76,1,1,4,3,1,1,0,1,1,3,0,0,0.4375,21.52899256183973,13.12531853622071,11.144381434592226,7.719571089142093,5.4770875552063565,13.12531853622071,11.144381434592226,7.719571089142093,5.4770875552063565,-2.459999999999999,25.62749040845494,11.07416336780592,6.033378319378883,"active"
